od_id,od_nome,od_area,od_ano,od_municip,area,perimeter,geometry,d_m_1995,d_m_1996,d_m_1997,d_m_1998,d_m_1999,d_m_2000,d_m_2001,d_m_2002,d_m_2003,d_m_2004,d_m_2005,d_m_2006,d_m_2007,d_m_2008,d_m_2009,d_m_2010,d_m_2011,d_m_2012,d_m_2013,d_m_2014,d_m_2015,d_m_2016,d_m_2017,d_m_2018,d_m_2019
315,Parque Fernanda,512.27,2017,36,5075347.993652344,13430.687121261566,POINT (317832.174518857 7382046.316178805),16220.133940499694,16220.133940499694,16220.133940499694,16220.133940499694,16025.41203961763,16025.41203961763,16025.41203961763,16025.41203961763,9111.796561448036,9111.796561448036,9111.796561448036,9111.796561448036,9111.796561448036,9111.796561448036,9111.796561448036,9111.796561448036,8947.816842705788,8539.054230921598,8539.054230921598,8539.054230921598,7898.5899268376,7898.5899268376,7898.5899268376,6845.868115373977,6825.017566240475
324,Jardim Mitsutani,349.31,2017,36,3469587.7048339844,9152.447938397012,POINT (318683.26155304647 7384124.9381820215),14679.256524394437,14679.256524394437,14679.256524394437,14679.256524394437,14453.583264997846,14453.583264997846,14453.583264997846,14453.583264997846,8062.190574666571,8062.190574666571,8062.190574666571,8062.190574666571,8062.190574666571,8062.190574666571,8062.190574666571,8062.190574666571,7853.322767687656,7272.973591233244,7272.973591233244,7272.973591233244,6636.091679267856,6636.091679267856,6636.091679267856,5831.702168938409,5736.936780194546
282,Campo Grande,272.36,2017,36,2717272.1342773438,8419.041677700725,POINT (329132.4966717699 7380187.728743939),8762.540839079953,8762.540839079953,8762.540839079953,8762.540839079953,8762.540839079953,8762.540839079953,8762.540839079953,8762.540839079953,6909.1740379601515,6909.1740379601515,6909.1740379601515,6909.1740379601515,6909.1740379601515,6909.1740379601515,6909.1740379601515,6909.1740379601515,6909.1740379601515,6909.1740379601515,6909.1740379601515,6909.1740379601515,6437.165908288971,6437.165908288971,6437.165908288971,5597.190323327427,5597.190323327427
280,Jurubatuba,482.59,2017,36,4814763.967285156,9616.899685887036,POINT (326944.81968288025 7381163.776749212),9206.045713922873,9206.045713922873,9206.045713922873,9206.045713922873,9206.045713922873,9206.045713922873,9206.045713922873,9206.045713922873,5931.680221403455,5931.680221403455,5931.680221403455,5931.680221403455,5931.680221403455,5931.680221403455,5931.680221403455,5931.680221403455,5931.680221403455,5931.680221403455,5931.680221403455,5931.680221403455,5351.580843652575,5351.580843652575,5351.580843652575,4402.838743968335,4402.838743968335
281,Vila São Pedro,312.58,2017,36,3118513.0192871094,7533.629553258955,POINT (328205.63966508093 7381961.1241212385),7800.115329050133,7800.115329050133,7800.115329050133,7800.115329050133,7800.115329050133,7800.115329050133,7800.115329050133,7800.115329050133,5747.12457922241,5747.12457922241,5747.12457922241,5747.12457922241,5747.12457922241,5747.12457922241,5747.12457922241,5747.12457922241,5747.12457922241,5747.12457922241,5747.12457922241,5747.12457922241,5224.074801861755,5224.074801861755,5224.074801861755,4153.9778051861185,4153.9778051861185
302,Santo Amaro,257.11,2017,36,2565114.97265625,6825.083385198608,POINT (326591.5805775752 7383279.290035962),8093.829593127547,8093.829593127547,8093.829593127547,8093.829593127547,8093.829593127547,8093.829593127547,8093.829593127547,8093.829593127547,5080.112531448532,5080.112531448532,5080.112531448532,5080.112531448532,5080.112531448532,5080.112531448532,5080.112531448532,5080.112531448532,5080.112531448532,5080.112531448532,5080.112531448532,5080.112531448532,4402.129269193222,4402.129269193222,4402.129269193222,3039.7879578835245,2994.261106724899
301,Chácara Flora,452.25,2017,36,4511930.883056641,9480.415622005896,POINT (327992.1967004434 7384481.3075764505),6331.549614109891,6331.549614109891,6331.549614109891,6331.549614109891,6331.549614109891,6331.549614109891,6331.549614109891,6331.549614109891,5016.44511569888,5016.44511569888,5016.44511569888,5016.44511569888,5016.44511569888,5016.44511569888,5016.44511569888,5016.44511569888,5016.44511569888,5016.44511569888,5016.44511569888,5016.44511569888,4528.940363197818,4528.940363197818,4528.940363197818,3177.586612894466,3068.591520176911
300,Granja Julieta,616.88,2017,36,6154556.02734375,10594.866469434632,POINT (325898.04666707484 7385195.040872469),7820.590628447059,7820.590628447059,7820.590628447059,7820.590628447059,7820.590628447059,7820.590628447059,7820.590628447059,7820.590628447059,5181.829228779193,5181.829228779193,5181.829228779193,5181.829228779193,5181.829228779193,5181.829228779193,5181.829228779193,5181.829228779193,5181.829228779193,5163.288116045106,5163.288116045106,5163.288116045106,4640.5317420064985,4640.5317420064985,4640.5317420064985,3052.824508689351,2855.778840401109
268,Joaquim Nabuco,198.44,2017,36,1979754.7145996094,7426.652391028786,POINT (328821.88519387244 7385680.218681639),5109.617189570616,5109.617189570616,5109.617189570616,5109.617189570616,5109.617189570616,5109.617189570616,5109.617189570616,5109.617189570616,4685.739442634875,4685.739442634875,4685.739442634875,4685.739442634875,4685.739442634875,4685.739442634875,4685.739442634875,4685.739442634875,4685.739442634875,4685.739442634875,4685.739442634875,4685.739442634875,4433.263242091463,4433.263242091463,4433.263242091463,3328.145527792006,3031.0074480501085
269,Vieira de Moraes,171.28,2017,36,1708788.162109375,6085.438310738495,POINT (329331.3095533778 7386452.387473991),4421.906273549639,4421.906273549639,4421.906273549639,4421.906273549639,4421.906273549639,4421.906273549639,4421.906273549639,4421.906273549639,4344.021640658207,4344.021640658207,4344.021640658207,4344.021640658207,4344.021640658207,4344.021640658207,4344.021640658207,4344.021640658207,4344.021640658207,4344.021640658207,4344.021640658207,4344.021640658207,4225.463283635002,4225.463283635002,4225.463283635002,3434.8522195052938,2898.167369916647
72,Vila Cordeiro,176.69,2017,36,1762767.3295898438,5359.33278804956,POINT (327349.6398472123 7386876.419024765),6060.3514113502215,6060.3514113502215,6060.3514113502215,6060.3514113502215,6060.3514113502215,6060.3514113502215,6060.3514113502215,6060.3514113502215,5416.785847652875,5416.785847652875,5416.785847652875,5416.785847652875,5416.785847652875,5416.785847652875,5416.785847652875,5416.785847652875,5387.447990419533,5330.278355237369,5330.278355237369,5330.278355237369,5096.981476734918,5096.981476734918,5096.981476734918,3904.933381713844,3363.172491706464
270,Campo Belo,138.57,2017,36,1382454.15625,6013.210862973988,POINT (329726.5921162692 7387071.136142572),3944.575662728931,3944.575662728931,3944.575662728931,3944.575662728931,3944.575662728931,3944.575662728931,3944.575662728931,3944.575662728931,3944.575662728931,3944.575662728931,3944.575662728931,3944.575662728931,3917.110282297866,3917.110282297866,3917.110282297866,3917.110282297866,3917.110282297866,3917.110282297866,3917.110282297866,3917.110282297866,3917.110282297866,3917.110282297866,3917.110282297866,3402.921843102821,2669.4743182602256
312,Capão Redondo,219.39,2017,36,2188975.5661621094,7329.4646440293545,POINT (320233.0339833697 7382321.274951959),13987.583251646249,13987.583251646249,13987.583251646249,13987.583251646249,13881.874249131148,13881.874249131148,13881.874249131148,13881.874249131148,6921.283625628426,6921.283625628426,6921.283625628426,6921.283625628426,6921.283625628426,6921.283625628426,6921.283625628426,6921.283625628426,6824.827403311242,6579.215348208144,6579.215348208144,6579.215348208144,5939.34032067621,5939.34032067621,5939.34032067621,4666.869838455268,4666.869838455268
303,Vila Miranda,271.15,2017,36,2705243.3798828125,7098.088418042524,POINT (325050.3560190743 7383131.8163963165),9434.399863885195,9434.399863885195,9434.399863885195,9434.399863885195,9434.399863885195,9434.399863885195,9434.399863885195,9434.399863885195,4896.533257730751,4896.533257730751,4896.533257730751,4896.533257730751,4896.533257730751,4896.533257730751,4896.533257730751,4896.533257730751,4896.533257730751,4896.533257730751,4896.533257730751,4896.533257730751,4154.164696372585,4154.164696372585,4154.164696372585,2718.3226718108376,2718.3226718108376
304,Jardim São Luís,408.45,2017,36,4075187.4848632812,9861.074508716085,POINT (322023.13606255257 7383313.231549852),11994.838020818424,11994.838020818424,11994.838020818424,11994.838020818424,11946.817636133772,11946.817636133772,11946.817636133772,11946.817636133772,5635.065816831766,5635.065816831766,5635.065816831766,5635.065816831766,5635.065816831766,5635.065816831766,5635.065816831766,5635.065816831766,5563.155159956475,5374.2376987086645,5374.2376987086645,5374.2376987086645,4728.374768139305,4728.374768139305,4728.374768139305,3368.291537278105,3368.291537278105
