,od,ano,valor_m2_vpl,dist_metro
29,1,1995,2038.4206461968638,791.8360678575384
30,1,1996,2092.3620727789885,791.8360678575384
31,1,1997,2101.782314216485,791.8360678575384
32,1,1998,2106.6621252606387,791.8360678575384
33,1,1999,2105.8472683505506,791.8360678575384
34,1,2000,1939.7607533932476,791.8360678575384
35,1,2001,1941.646376289645,791.8360678575384
36,1,2002,1891.220702163683,791.8360678575384
37,1,2003,1802.970612709295,791.8360678575384
38,1,2004,1786.061363478275,791.8360678575384
39,1,2005,1781.4929995667283,791.8360678575384
40,1,2006,1765.45114962407,791.8360678575384
41,1,2007,1775.1326130104333,791.8360678575384
42,1,2008,1762.363253432419,791.8360678575384
43,1,2009,1777.5769683566361,791.8360678575384
44,1,2010,2379.14491111624,791.8360678575384
45,1,2011,2368.8363672995633,791.8360678575384
46,1,2012,2367.1968763748,791.8360678575384
47,1,2013,2356.9266757352107,791.8360678575384
48,1,2014,2352.643120566886,791.8360678575384
49,1,2015,3716.3891704182406,791.8360678575384
50,1,2016,3676.6648474929275,791.8360678575384
51,1,2017,3667.2632810091686,791.8360678575384
52,1,2018,3670.4705136761118,791.8360678575384
53,1,2019,3658.913651364708,791.8360678575384
58,2,1995,1081.6238566807033,975.757000580995
59,2,1996,1206.656103143321,975.757000580995
60,2,1997,1210.8711996075613,975.757000580995
61,2,1998,1213.2784495615554,975.757000580995
62,2,1999,1212.7262471560541,975.757000580995
63,2,2000,1115.8788805198683,975.757000580995
64,2,2001,1117.1184100114685,975.757000580995
65,2,2002,979.0811656691069,975.757000580995
66,2,2003,922.6555787225955,975.757000580995
67,2,2004,1003.0729280816008,975.757000580995
68,2,2005,998.2704739810242,975.757000580995
69,2,2006,994.1547074928772,975.757000580995
70,2,2007,997.570755772812,975.757000580995
71,2,2008,989.7425727335266,975.757000580995
72,2,2009,990.23272875822,975.757000580995
73,2,2010,2089.3444910056296,975.757000580995
74,2,2011,2079.6875345607286,975.757000580995
75,2,2012,2078.053276600526,975.757000580995
76,2,2013,2068.978152515877,975.757000580995
77,2,2014,2062.3892765494306,975.757000580995
78,2,2015,3561.9910401135903,975.757000580995
79,2,2016,3518.481313155357,975.757000580995
80,2,2017,3529.793740196218,975.757000580995
81,2,2018,3531.9672280988525,975.757000580995
82,2,2019,3504.9983065985393,975.757000580995
87,3,1995,818.2455271659351,982.6049690745248
88,3,1996,865.6526173354539,982.6049690745248
89,3,1997,867.9200368656415,982.6049690745248
90,3,1998,865.7914612414264,982.6049690745248
91,3,1999,868.564391373711,982.6049690745248
92,3,2000,790.512366587082,982.6049690745248
93,3,2001,801.9919683383087,982.6049690745248
94,3,2002,1109.5345162555323,982.6049690745248
95,3,2003,1052.6679491152738,982.6049690745248
96,3,2004,1073.240618963184,982.6049690745248
97,3,2005,1067.8198527690479,982.6049690745248
98,3,2006,1063.6773911247385,982.6049690745248
99,3,2007,1063.962005104393,982.6049690745248
100,3,2008,1060.5998226641073,982.6049690745248
101,3,2009,1060.9712483472085,982.6049690745248
102,3,2010,1220.7063422925808,982.6049690745248
103,3,2011,1215.588423325625,982.6049690745248
104,3,2012,1214.732040985944,982.6049690745248
105,3,2013,1207.902303479907,982.6049690745248
106,3,2014,1205.0437927916323,982.6049690745248
107,3,2015,2119.1360903200057,982.6049690745248
108,3,2016,2088.79720370373,982.6049690745248
109,3,2017,2083.3462779039446,982.6049690745248
110,3,2018,2083.945445561778,982.6049690745248
111,3,2019,2075.9675359907715,982.6049690745248
116,4,1995,1217.0341170932604,1016.424466984902
117,4,1996,1315.6506578539572,1016.424466984902
118,4,1997,1323.1479075875422,1016.424466984902
119,4,1998,1324.700567395472,1016.424466984902
120,4,1999,1324.9566431791077,1016.424466984902
121,4,2000,1216.43408787611,1016.424466984902
122,4,2001,1209.6596813485387,1016.424466984902
123,4,2002,1487.2948047904026,1016.424466984902
124,4,2003,1414.9109085352866,1016.424466984902
125,4,2004,1404.5443274368572,1016.424466984902
126,4,2005,1396.8783833056566,1016.424466984902
127,4,2006,1393.8228494861798,1016.424466984902
128,4,2007,1393.443951759163,1016.424466984902
129,4,2008,1386.9659005843662,1016.424466984902
130,4,2009,1388.1764370552896,1016.424466984902
131,4,2010,1472.8245226875579,1016.424466984902
132,4,2011,1466.5077638893438,1016.424466984902
133,4,2012,1465.9893120170505,1016.424466984902
134,4,2013,1460.726947130058,1016.424466984902
135,4,2014,1469.4871822896573,1016.424466984902
136,4,2015,2563.7646295908153,1016.424466984902
137,4,2016,2510.3842812666053,1016.424466984902
138,4,2017,2492.0045751287253,1016.424466984902
139,4,2018,2492.579874447809,1016.424466984902
140,4,2019,2487.2644216973003,961.386980001714
145,5,1995,2112.9749553130905,878.3806785196059
146,5,1996,2127.488452555345,878.3806785196059
147,5,1997,2133.4371088410962,878.3806785196059
148,5,1998,2134.1263929988722,878.3806785196059
149,5,1999,2137.182924315099,878.3806785196059
150,5,2000,1958.5530462609752,878.3806785196059
151,5,2001,1962.2501625665984,878.3806785196059
152,5,2002,2089.9937278014045,878.3806785196059
153,5,2003,1986.5465042925234,878.3806785196059
154,5,2004,1955.846591148558,878.3806785196059
155,5,2005,1963.4937141629805,878.3806785196059
156,5,2006,1959.9370042364633,878.3806785196059
157,5,2007,1958.2509357955946,878.3806785196059
158,5,2008,1948.9391528282704,878.3806785196059
159,5,2009,1944.8685596455475,878.3806785196059
