Zona ,Nome,População,Escolares,Empregos,Área (ha),Per Capita,cluster
80,Jardim Paulistano,0.1247,0.062,0.2727,0.0047595783027087,0.536,0
81,Jardim Europa,0.0801,0.0123,0.4121,0.0148115307011554,0.9061,0
82,Pinheiros,0.0713,0.2237,0.743,0.009741315140056,0.3869,0
83,Vila Madalena,0.1411,0.0969,0.2751,0.0105457983185195,0.6226,0
84,PUC,0.1049,0.1676,0.1263,0.00352568479647,0.8119,0
85,Cardoso de Almeida,0.0319,0.0382,0.0323,0.0030481882057861,0.7242,0
86,Zequinha de Abreu,0.0236,0.0093,0.0386,0.0023855595029034,0.6014,0
87,Sumaré,0.1036,0.0488,0.1073,0.0066916843463826,0.6313,0
88,Perdizes,0.2872,0.0929,0.2386,0.0081001309869801,0.6,0
89,Vila Anglo Brasileira,0.0886,0.0116,0.0539,0.0038045851213408,0.5386,0
90,Pompéia,0.0838,0.0483,0.0964,0.0028851757745254,0.8036,0
91,Santa Marina,0.0149,0.3328,0.2414,0.0142027586127305,0.1918,1
92,Barra Funda,0.0021,0.019,0.1279,0.0056842771384441,0.3128,1
93,Francisco Matarazzo,0.0572,1.0,0.3018,0.0050553088195976,0.5135,4
94,Água Branca,0.0253,0.0735,0.1936,0.0034194141554417,0.5257,0
95,Vila Beatriz,0.1118,0.0681,0.0955,0.0088315230458223,0.5471,0
96,Alto de Pinheiros,0.0457,0.0662,0.1186,0.01217399918061,0.7284,0
97,Boaçava,0.1052,0.0288,0.138,0.0151202445090296,0.6215,0
98,Vila Anastácio,0.0155,0.0148,0.0841,0.0079178840505559,0.3084,1
99,Lapa de Baixo,0.0514,0.0315,0.227,0.0116700551453263,0.3529,1
100,Lapa,0.1226,0.3057,0.4,0.0108299881323103,0.4922,0
101,Vila Ipojuca,0.1384,0.0649,0.1088,0.0081010927122383,0.5365,0
102,Alto da Lapa,0.0801,0.0552,0.0809,0.0076913977522557,0.5234,0
103,Gavião Peixoto,0.0166,0.0301,0.0289,0.0033160286901879,0.4781,0
104,Bela Aliança,0.0447,0.0567,0.0358,0.0034309548585398,0.6528,0
105,Vila Hamburguesa,0.0914,0.1121,0.1634,0.0071735087007284,0.5438,0
106,CEASA,0.0248,0.001,0.2074,0.009510501078094,0.108,1
107,Vila Leopoldina,0.0963,0.1608,0.1271,0.0044071059955876,0.6604,0
108,Emissário,0.0219,0.0069,0.1538,0.0091613948093764,0.2229,1
109,Vila Zatt,0.7607,0.422,0.3403,0.0586758197265238,0.2021,2
110,Pirituba,0.3195,0.1911,0.1694,0.0235103356613496,0.2795,3
111,São Domingos,0.3225,0.1464,0.1754,0.0279746643097986,0.2934,3
112,Jardim Mutinga,0.2226,0.098,0.1374,0.0198100977305207,0.1651,3
113,Vila Jaguara,0.153,0.1238,0.1818,0.0218475126899647,0.2474,1
114,Parque do Jaraguá,0.0,0.0,0.0021,0.0235199529139313,0.0,1
115,Nova Jaraguá,0.3109,0.2323,0.1265,0.0374005335651732,0.1393,3
116,Parada de Taipas,1.0,0.7435,0.3185,0.0746895070003981,0.1602,2
117,Parque Morro Doce,0.4059,0.2148,0.1637,0.0734354172637377,0.1596,3
118,Anhanguera,0.1061,0.0596,0.0397,0.0871702965383661,0.1832,1
119,Perus,0.5525,0.4301,0.1382,0.1139226080450241,0.1368,2
120,Vista Alegre,0.0,0.0,0.0,0.035702607621865,0.0,1
121,Jardim Damasceno,0.5717,0.2513,0.1553,0.0275885316186413,0.1515,2
122,Vila Souza,0.3163,0.1425,0.0951,0.0106203320260281,0.1146,3
123,Vila Terezinha,0.4627,0.2117,0.0951,0.0120590730122581,0.1439,3
124,Brasilândia,0.4108,0.361,0.1748,0.0153048957585992,0.1923,3
125,Vila Morro Grande,0.3331,0.1982,0.1224,0.0198629926197203,0.1813,3
126,Itaberaba,0.2158,0.1049,0.1191,0.0099740526525344,0.2403,3
127,Freguesia do Ó,0.3416,0.2265,0.1968,0.0233627108342197,0.2771,3
128,Carandiru,0.0114,0.0605,0.1355,0.00182872057842,0.3868,1
129,Santana,0.0291,0.066,0.1431,0.00261396925172,0.3674,1
130,Zaki Narchi,0.0207,0.0164,0.0382,0.0034295122706525,0.1456,1
131,Tietê,0.0078,0.0775,0.1079,0.0037795802646283,0.2697,1
132,Parque Anhembi,0.0,0.0409,0.0383,0.0150760051471535,0.0,1
133,Alfredo Pujol,0.2308,0.1512,0.2016,0.0103419125637864,0.4967,0
134,Santa Terezinha,0.1826,0.1685,0.1455,0.0120734988911307,0.368,3
135,Jardim São Paulo,0.2417,0.1496,0.1726,0.0140041623469173,0.3833,3
136,Casa Verde,0.2063,0.1892,0.2323,0.0156448656373641,0.2704,3
137,Parque Peruche,0.3384,0.1396,0.2067,0.0188435638460547,0.2464,3
138,Limão,0.0497,0.0227,0.1193,0.0082612199677245,0.1921,1
139,Jardim Primavera,0.1539,0.11,0.1402,0.0092686271756629,0.2291,1
140,Vila Santa Maria,0.3001,0.1962,0.1607,0.0133650959128599,0.2004,3
141,Cachoeirinha,0.502,0.3613,0.2163,0.023013123702873,0.2275,2
142,Jardim Peri,0.42,0.1118,0.1749,0.0213349131273574,0.1507,3
143,Reserva da Cantareira,0.0,0.0,0.0,0.0209949432485925,0.0,1
144,Mandaqui,0.6619,0.2054,0.2978,0.0265652559439429,0.3144,2
145,Horto Florestal,0.0284,0.0624,0.0237,0.0164541574421185,0.3372,1
146,ETA Guaraú,0.0,0.0,0.0,0.0206131383210969,0.0,1
147,Parque Palmas do Tremembé,0.2147,0.0814,0.1317,0.0195725515917514,0.2469,3
148,Tremembé,0.1448,0.1214,0.0776,0.015946366505802,0.1643,1
149,Cantareira,0.0,0.0,0.0007,0.1387985935729824,0.0,1
150,Jardim das Pedras,0.3265,0.1342,0.1016,0.0773712778828195,0.1336,3
151,Jardim Guapira,0.6943,0.2674,0.2079,0.0263767577933406,0.1599,2
152,Parada Inglesa,0.2227,0.2245,0.1442,0.0116690934200681,0.2374,3
153,Tucuruvi,0.1031,0.1446,0.1065,0.0172389252527894,0.4328,0
154,Vila Gustavo,0.2879,0.1642,0.1698,0.0166282297138482,0.2866,3
155,Cohab Jova Real,0.2042,0.0701,0.0625,0.0122418008113114,0.1495,1
156,Jaçanã,0.2781,0.2149,0.1743,0.0185723573232493,0.2054,3
157,Parque Edu Chaves,0.1243,0.0859,0.0691,0.0052851611563015,0.2102,1
158,Vila Medeiros,0.3829,0.142,0.0785,0.0161098597996918,0.2577,3
159,Jardim Brasil,0.4064,0.1682,0.289,0.021848955277852,0.1782,3
160,Jardim Japão,0.3209,0.1231,0.1257,0.0190532199523368,0.2395,3
161,Parque Novo Mundo,0.2995,0.113,0.3286,0.0265128419173724,0.1542,3
162,Vila Maria,0.1003,0.3884,0.1764,0.0112579558721982,0.2241,3
163,Vila Isolina Mazzei,0.3009,0.1145,0.1714,0.0182487367738733,0.2919,3
164,Vila Guilherme,0.037,0.0428,0.104,0.0082179423311066,0.2087,1
165,Coroa,0.0202,0.0698,0.1418,0.0083857633886581,0.2489,1
166,Gomes Cardim,0.2082,0.4012,0.3004,0.0116965025899261,0.3713,3
167,Tatuapé,0.1104,0.1534,0.3711,0.0075437729251258,0.3348,1
168,Chácara do Piqueri,0.1425,0.1304,0.2193,0.0095494509510501,0.3469,1
169,Parque São Jorge,0.1422,0.7801,0.1883,0.0121211042914104,0.3708,4
170,Penha,0.2197,0.2267,0.1966,0.0184728187590281,0.2197,3
171,Tiquatira,0.2575,0.1346,0.1466,0.0156020688633753,0.2247,3
172,Vila Esperança,0.1696,0.1149,0.1129,0.0110030986787818,0.2775,1
173,Vila Ré,0.1698,0.0879,0.0893,0.0100130025254905,0.2101,1
174,Rui Barbosa,0.3096,0.2614,0.1,0.0130424370887422,0.1727,3
175,Estação Eng. Goulart,0.2013,0.0649,0.0997,0.00929651720815,0.1766,1
176,Cangaíba,0.2966,0.1572,0.1848,0.0160382112679578,0.2158,3
177,Parque Ecológico do Tietê,0.0645,0.0095,0.0187,0.0255265926651138,0.1294,1
178,USP Leste I,0.0,0.052,0.0128,0.0024129686727614,0.0,1
179,USP Leste II,0.0,0.0,0.0,0.0059064356730826,0.0,1
180,Ermelino Matarazzo,0.4503,0.2039,0.143,0.0215820765187084,0.1972,3
181,Parque Buturussu,0.2951,0.2221,0.1259,0.0178799151373632,0.1977,3
182,Ponte Rasa,0.2973,0.1676,0.1688,0.0175687970163435,0.2242,3
183,Burgo Paulista,0.2765,0.2218,0.0773,0.0140233968520808,0.1859,3
184,Limoeiro,0.1566,0.0512,0.0493,0.0068922040627121,0.1911,1
185,Laranja da China,0.1845,0.0851,0.0496,0.0063339225503415,0.1272,1
186,Pedro José Nunes,0.0744,0.0427,0.0263,0.0041440741374767,0.2471,1
187,Parque Cruzeiro do Sul,0.3056,0.1564,0.0986,0.0120172379635275,0.1433,3
188,Vila Jacuí,0.1968,0.5284,0.0821,0.0101880365224784,0.172,4
189,Parada XV,0.3086,0.2307,0.1058,0.0156020688633753,0.1761,3
190,Itaquera,0.2137,0.2437,0.1523,0.0136165870678728,0.221,3
191,Arena Corinthians,0.0,0.0533,0.086,0.0067460218234695,0.0,1
192,Vila Campanela,0.2467,0.1276,0.0928,0.0110853261883558,0.2202,3
193,Araucárias,0.1625,0.0573,0.0652,0.0062310179477167,0.1564,1
194,Parque Guarani,0.1637,0.1334,0.048,0.0060805079448123,0.1287,1
195,Rio Verde,0.2346,0.1082,0.0619,0.0114810761320948,0.1826,3
196,Saudade,0.2279,0.1393,0.0825,0.0099673205757272,0.1525,3
197,São Miguel Paulista,0.1528,0.1502,0.0768,0.0145533074693353,0.203,1
198,Cidade Nitro-Operária,0.1867,0.1976,0.2369,0.0172110352203024,0.206,3
199,Jardim Helena,0.6444,0.3983,0.2046,0.0329232216257388,0.1665,2
200,Jardim Romano,0.2109,0.1001,0.0907,0.0110968668914539,0.1583,1
201,Vila Curuçá,0.4729,0.4069,0.1645,0.0241955649077994,0.1693,2
202,Jardim Robru,0.4916,0.2831,0.1135,0.0215998684359846,0.1637,2
203,Lageado,0.3613,0.1853,0.0875,0.0133174905125803,0.1645,3
204,Fábrica Bandeirantes,0.7288,0.4501,0.2264,0.0295889201556456,0.1273,2
205,Fazenda Itaim,0.6801,0.3434,0.2204,0.0222273941669439,0.1414,2
206,Itaim Paulista,0.2908,0.278,0.1573,0.0145311877883973,0.1517,3
207,Jardim das Oliveiras,0.5005,0.2982,0.1584,0.0221249704269483,0.1571,2
208,Vila Califórnia,0.2693,0.1717,0.2854,0.0163512528394938,0.2364,3
209,Vila Carrão,0.2672,0.1728,0.1279,0.0211714198334676,0.2315,3
210,Jardim Anália Franco,0.2037,0.3589,0.2035,0.0160627352620412,0.3682,3
211,Vila Formosa,0.3937,0.0832,0.2028,0.0200750530391479,0.216,3
212,Barreira Grande,0.2661,0.1575,0.0866,0.0134689622407429,0.1602,3
213,Aricanduva,0.2822,0.1834,0.2162,0.0195311974056499,0.2189,3
214,Frei Mont'Alverne,0.1649,0.213,0.1226,0.0108290264070521,0.1702,3
215,Vila Matilde,0.2482,0.1445,0.1798,0.0158766414245843,0.2098,3
216,Cidade Patriarca,0.2551,0.1943,0.1229,0.0161810274687968,0.2268,3
217,Cidade A.E.Carvalho,0.2095,0.1393,0.1072,0.0127798860932604,0.2345,3
218,Artur Alvim,0.4327,0.2615,0.1843,0.0186223670366744,0.1969,3
219,Cidade Líder,0.345,0.1439,0.17,0.0167104572234222,0.1715,3
220,Santa Marcelina,0.2185,0.1273,0.1062,0.0127880607579549,0.2139,3
221,Parque Savoy,0.2813,0.1782,0.1759,0.0213863654286698,0.2427,3
222,Vila Carmosina,0.2819,0.1544,0.1659,0.0165301337375144,0.2493,3
223,Fazenda Caguaçu,0.1678,0.0593,0.1064,0.021135355136286,0.1536,1
224,Parque do Carmo,0.0,0.0749,0.018,0.0373837033731551,0.0,1
225,Gleba do Pêssego,0.2015,0.12,0.1187,0.0494552788137696,0.1571,3
226,José Bonifácio,0.6477,0.4594,0.2046,0.0200293710893846,0.1862,2
227,Guaianases,0.4051,0.2656,0.1563,0.0227130654223224,0.1735,3
228,Juscelino Kubitschek,0.2807,0.1421,0.0872,0.0201394886314457,0.1554,3
229,Cidade Tiradentes,0.9681,0.7032,0.3156,0.0458545794471618,0.1409,2
230,Santa Etelvina,0.4884,0.4135,0.1381,0.0260290941125103,0.1696,2
231,Terceira Divisão,0.2235,0.1074,0.0817,0.0543807547235136,0.1681,3
232,Iguatemi,0.2673,0.2381,0.0946,0.024226340116061,0.1834,3
233,Sítio Carrãozinho,0.426,0.2328,0.1649,0.015545327073143,0.1745,3
234,Parque São Rafael,0.4485,0.2673,0.1696,0.035439094901125,0.1247,3
235,Rodolfo Pirani,0.5409,0.1778,0.2358,0.0272187482568729,0.1638,2
236,Ipiranga,0.0764,0.0957,0.1081,0.0044210510118311,0.4724,0
237,Sacomã,0.0518,0.0194,0.1164,0.0043441129911771,0.3239,1
238,Alto do Ipiranga,0.122,0.0565,0.112,0.0077327519383572,0.3248,1
239,Vila São José,0.098,0.2818,0.1738,0.0085377159794498,0.3221,3
240,Vila Monumento,0.1228,0.0809,0.1884,0.0079433697698976,0.3609,1
241,Vila Independência,0.0613,0.033,0.1224,0.0081852436723286,0.2407,1
242,Vila Carioca,0.1717,0.0294,0.1241,0.0119787689532005,0.1876,1
243,Moinho Velho,0.2836,0.2956,0.2,0.0167056485971313,0.2696,3
244,Vila Heliópolis,0.3946,0.06,0.1033,0.0111949628677877,0.1878,3
245,São João Clímaco,0.1557,0.0298,0.0666,0.0095282929953702,0.2511,1
246,Anchieta,0.1898,0.229,0.0712,0.010438565952233,0.252,3
247,Vila das Mercês,0.6255,0.301,0.2083,0.0225495721284326,0.2544,2
248,Parque do Estado,0.0,0.0,0.0211,0.0214181023621895,0.0,1
249,Água Funda,0.2965,0.0828,0.1453,0.0132862344416896,0.1723,3
250,Jardim da Saúde,0.1215,0.0598,0.1297,0.008796900936528,0.3294,1
251,Vila Gumercindo,0.1544,0.1361,0.1153,0.0065969544084524,0.3038,1
252,Jardim Previdência,0.1424,0.0674,0.1154,0.007973183252901,0.2109,1
253,Tamanduateí,0.0321,0.004,0.0688,0.0054332668460604,0.1427,1
254,Orfanato,0.2158,0.472,0.2189,0.0170350394980563,0.3563,4
255,Vila Zelina,0.4148,0.2257,0.208,0.0237036424382428,0.2261,3
256,Linhas Corrente,0.1866,0.0786,0.0937,0.0121086018630541,0.1804,1
257,Vila Ema,0.2794,0.107,0.0807,0.0128496111744781,0.2,3
258,Parque São Lucas,0.4393,0.1879,0.1582,0.0216234307048099,0.1757,3
259,Vila Cardoso Franco,0.2403,0.0785,0.1065,0.0078803767654871,0.159,3
260,Parque Santa Madalena,0.2915,0.1081,0.0881,0.0098504709568589,0.1631,3
261,Jardim Colorado,0.3566,0.1249,0.1189,0.0154001065591586,0.2023,3
262,Teotônio Vilela,0.5394,0.1813,0.1909,0.0166537154331899,0.1634,2
