Zona ,Nome,População,Escolares,Empregos,Área (ha),Per Capita
83,Vila Madalena,0.1411,0.0969,0.2751,0.01054579831851956,0.6226
84,PUC,0.1049,0.1676,0.1263,0.0035256847964700833,0.8119
85,Cardoso de Almeida,0.0319,0.0382,0.0323,0.003048188205786124,0.7242
86,Zequinha de Abreu,0.0236,0.0093,0.0386,0.0023855595029034487,0.6014
87,Sumaré,0.1036,0.0488,0.1073,0.006691684346382663,0.6313
88,Perdizes,0.2872,0.0929,0.2386,0.008100130986980163,0.6000
89,Vila Anglo Brasileira,0.0886,0.0116,0.0539,0.0038045851213408762,0.5386
90,Pompéia,0.0838,0.0483,0.0964,0.0028851757745254366,0.8036
91,Santa Marina,0.0149,0.3328,0.2414,0.014202758612730551,0.1918
92,Barra Funda,0.0021,0.0190,0.1279,0.005684277138444198,0.3128
93,Francisco Matarazzo,0.0572,1.0000,0.3018,0.0050553088195976524,0.5135
94,Água Branca,0.0253,0.0735,0.1936,0.00341941415544173,0.5257
95,Vila Beatriz,0.1118,0.0681,0.0955,0.008831523045822362,0.5471
96,Alto de Pinheiros,0.0457,0.0662,0.1186,0.01217399918061008,0.7284
97,Boaçava,0.1052,0.0288,0.1380,0.01512024450902964,0.6215
98,Vila Anastácio,0.0155,0.0148,0.0841,0.007917884050555974,0.3084
99,Lapa de Baixo,0.0514,0.0315,0.2270,0.011670055145326303,0.3529
100,Lapa,0.1226,0.3057,0.4000,0.010829988132310314,0.4922
101,Vila Ipojuca,0.1384,0.0649,0.1088,0.008101092712238338,0.5365
102,Alto da Lapa,0.0801,0.0552,0.0809,0.0076913977522557265,0.5234
103,Gavião Peixoto,0.0166,0.0301,0.0289,0.0033160286901879016,0.4781
104,Bela Aliança,0.0447,0.0567,0.0358,0.0034309548585398316,0.6528
105,Vila Hamburguesa,0.0914,0.1121,0.1634,0.007173508700728411,0.5438
106,CEASA,0.0248,0.0010,0.2074,0.009510501078094015,0.1080
107,Vila Leopoldina,0.0963,0.1608,0.1271,0.004407105995587605,0.6604
108,Emissário,0.0219,0.0069,0.1538,0.009161394809376437,0.2229
109,Vila Zatt,0.7607,0.4220,0.3403,0.05867581972652381,0.2021
110,Pirituba,0.3195,0.1911,0.1694,0.02351033566134961,0.2795
111,São Domingos,0.3225,0.1464,0.1754,0.027974664309798634,0.2934
112,Jardim Mutinga,0.2226,0.0980,0.1374,0.019810097730520736,0.1651
113,Vila Jaguara,0.1530,0.1238,0.1818,0.021847512689964783,0.2474
114,Parque do Jaraguá,0.0000,0.0000,0.0021,0.02351995291393136,0.0000
115,Nova Jaraguá,0.3109,0.2323,0.1265,0.037400533565173234,0.1393
116,Parada de Taipas,1.0000,0.7435,0.3185,0.07468950700039816,0.1602
117,Parque Morro Doce,0.4059,0.2148,0.1637,0.07343541726373777,0.1596
118,Anhanguera,0.1061,0.0596,0.0397,0.08717029653836611,0.1832
119,Perus,0.5525,0.4301,0.1382,0.11392260804502415,0.1368
120,Vista Alegre,0.0000,0.0000,0.0000,0.03570260762186502,0.0000
121,Jardim Damasceno,0.5717,0.2513,0.1553,0.027588531618641315,0.1515
122,Vila Souza,0.3163,0.1425,0.0951,0.010620332026028134,0.1146
123,Vila Terezinha,0.4627,0.2117,0.0951,0.012059073012258151,0.1439
124,Brasilândia,0.4108,0.3610,0.1748,0.015304895758599266,0.1923
125,Vila Morro Grande,0.3331,0.1982,0.1224,0.019862992619720368,0.1813
126,Itaberaba,0.2158,0.1049,0.1191,0.009974052652534435,0.2403
127,Freguesia do Ó,0.3416,0.2265,0.1968,0.023362710834219726,0.2771
128,Carandiru,0.0114,0.0605,0.1355,0.0018287205784200393,0.3868
129,Santana,0.0291,0.0660,0.1431,0.0026139692517200457,0.3674
130,Zaki Narchi,0.0207,0.0164,0.0382,0.003429512270652569,0.1456
131,Tietê,0.0078,0.0775,0.1079,0.003779580264628322,0.2697
132,Parque Anhembi,0.0000,0.0409,0.0383,0.015076005147153581,0.0000
133,Alfredo Pujol,0.2308,0.1512,0.2016,0.010341912563786427,0.4967
134,Santa Terezinha,0.1826,0.1685,0.1455,0.012073498891130779,0.3680
135,Jardim São Paulo,0.2417,0.1496,0.1726,0.014004162346917384,0.3833
136,Casa Verde,0.2063,0.1892,0.2323,0.015644865637364183,0.2704
137,Parque Peruche,0.3384,0.1396,0.2067,0.018843563846054717,0.2464
138,Limão,0.0497,0.0227,0.1193,0.008261219967724501,0.1921
139,Jardim Primavera,0.1539,0.1100,0.1402,0.009268627175662965,0.2291
140,Vila Santa Maria,0.3001,0.1962,0.1607,0.013365095912859998,0.2004
141,Cachoeirinha,0.5020,0.3613,0.2163,0.02301312370287306,0.2275
142,Jardim Peri,0.4200,0.1118,0.1749,0.02133491312735743,0.1507
